Epoca;Train_Loss;Val_Loss
1;0.07094841450452805;0.06225273571908474
2;0.06934288782732827;0.06617454905062914
3;0.0667258192385946;0.06612836942076683
4;0.06079980092389243;0.05452737398445606
5;0.05747182188289506;0.053386650048196316
6;0.04694958935890879;0.0409987666644156
7;0.03457842261663505;0.028659845236688852
8;0.022613834323627607;0.02056986093521118
9;0.017481519574565545;0.017321564257144928
10;0.01731223932334355;0.015390522545203567
11;0.014956158851938588;0.013893053168430924
12;0.014178429863282613;0.01289309817366302
13;0.01233379529522998;0.012325550429522991
14;0.01143269706517458;0.011879268335178494
15;0.010399434582463332;0.01029433705843985
16;0.00892704033425876;0.01029479131102562
17;0.008360109491539853;0.008647512877359986
18;0.00841275682406766;0.008379657403565943
19;0.008613338294838156;0.008984798099845648
20;0.008226572535932064;0.009856936754658818
21;0.008173937044505562;0.008881930145435035
22;0.008365519810467958;0.008115005563013256
23;0.00814269483089447;0.00855028792284429
24;0.007878886801855904;0.00906430627219379
25;0.007859966717660427;0.008435280178673565
26;0.00743223397460367;0.00911042676307261
27;0.0072296203247138435;0.008307890966534615
28;0.007219176539885146;0.008551123784855008
29;0.007675836594509227;0.009032724425196648
30;0.007503763639501163;0.007550118258222938
31;0.0073415532575121945;0.007952496991492808
32;0.00676751382915037;0.008089214563369751
33;0.006627808258469615;0.007762064342387021
34;0.006760456532772098;0.0073083952302113175
35;0.006745105077113424;0.008006614400073886
36;0.006957412497805697;0.007217929931357503
37;0.006713166699877807;0.006765559897758067
38;0.006133884224774582;0.006441124831326306
39;0.006537089323891061;0.006283061346039176
40;0.006484936191035169;0.0072424637619405985
41;0.006636583179767642;0.0069090453907847404
42;0.006092538724520377;0.007034669280983508
43;0.006319496115403516;0.006925945286639035
44;0.006603050045669079;0.0075125242583453655
45;0.006147573635514293;0.007158417487516999
46;0.006716294679790735;0.006411849055439234
47;0.006477870645799807;0.0066724675707519054
48;0.005861916645829167;0.007030547363683581
49;0.005888475471043161;0.006484582205303013
50;0.005867579353174993;0.006409460329450667
51;0.005774147542459624;0.006286037852987647
52;0.005595579477293151;0.00631420873105526
53;0.005271735401558024;0.006367040099576116
54;0.005656244965004069;0.006573061691597104
55;0.005422161359872136;0.005861029028892517
56;0.005508143188697951;0.00619115331210196
57;0.005385624377855233;0.005556445103138685
58;0.005256510239892772;0.005763116176240146
59;0.006004634379808392;0.005422387737780809
60;0.005031400459951588;0.005966045893728733
